ONTENT_TYPE,POST_ID,URL,category,post_title,session,page_view,click_app_store,article_ctr,imp,click,search_ctr,sum_position,avg_position,sales,pv_unit_sales,app_link_click,cv,cvr,growth_rate
column,342,https://good-apps.jp/media/column/342,"ニュース, ニュース・天気",速報に強いおすすめ無料ニュースアプリ紹介！,4.20,6.00,1.00,16.67%,194.33,2.33,1.20%,"1,180.33",6.98,,0.00,2,0,0.00%,
column,24782,https://good-apps.jp/media/column/24782,"音楽, エンターテインメント",【無料あり】おすすめのDJアプリ5選｜自分だけの音を掻き鳴らせ！,5.40,6.00,1.80,30.00%,95.33,5.00,5.24%,938.00,10.89,,0.00,12.6,0,0.00%,
column,23965,https://good-apps.jp/media/column/23965,"エンターテインメント, 公営ギャンブル",競艇アプリおすすめ6選！購入・予想・情報収集の比較ガイド,4.80,5.80,1.40,24.14%,862.00,2.33,0.27%,"7,698.00",9.94,,0.00,13.6,0,0.00%,
column,20961,https://good-apps.jp/media/column/20961,"英語学習, 勉強",英語発音アプリおすすめランキングTOP10！発音矯正や採点もOK,5.40,5.80,1.20,20.69%,689.00,4.00,0.58%,"6,883.00",11.01,,0.00,6,0,0.00%,
column,14907,https://good-apps.jp/media/column/14907,"英語学習, 勉強",【[Y]年最新】英単語アプリおすすめランキング10選,5.20,5.80,1.60,27.59%,153.67,1.33,0.87%,"2,962.00",19.87,800.00,137.93,8.8,0.2,12.50%,
column,363,https://good-apps.jp/media/column/363,"テーマ別, その他",【[Y]年版】無料なのに超便利！おすすめスマホアプリ9選,2.80,5.40,0.00,0.00%,497.67,5.00,1.00%,"6,832.00",14.90,,0.00,3.4,0,0.00%,
column,2784,https://good-apps.jp/media/column/2784,"ファイナンス・マネー, 株・FX",【[Y]年最新版】FXデモトレードアプリおすすめランキング,5.20,5.20,0.00,0.00%,425.33,2.67,0.63%,"11,718.67",28.27,,0.00,,,0.00%,
column,12998,https://good-apps.jp/media/column/12998,"ゲーム, オンラインゲーム",スマホで遊べる！野球ゲームアプリおすすめ5選｜無料＆人気｜新作,4.60,5.20,0.40,7.69%,616.67,5.00,0.81%,"7,044.33",12.51,,0.00,2.2,0,0.00%,
column,20386,https://good-apps.jp/media/column/20386,"勉強, 勉強サポート, 語学学習",漢和辞典アプリおすすめランキング! 特徴や選び方を解説,5.00,5.20,0.20,3.85%,892.67,4.67,0.52%,"5,474.00",7.12,,0.00,3.5,0,0.00%,
column,354,https://good-apps.jp/media/column/354,"ニュース, ニュース・天気",【[Y]年】エンタメ情報ならコレ！おすすめニュースアプリ16選,4.40,5.00,2.60,52.00%,455.33,4.67,1.02%,"3,377.33",8.78,390.00,78.00,5.6,0.2,7.69%,
column,23785,https://good-apps.jp/media/column/23785,"エンターテインメント, 公営ギャンブル",【[Y]】公営ギャンブルアプリおすすめランキング！選び方も紹介,4.20,5.00,0.80,16.00%,370.00,3.00,0.81%,"4,315.33",12.99,"1,435.00",287.00,19.6,0.2,25.00%,
column,9859,https://good-apps.jp/media/column/9859,"ショッピング, 電子マネー・決済, ショッピング・オークション, ファイナンス・マネー",【審査なし！？】おすすめ後払いアプリ最新ランキング,4.40,5.00,1.60,32.00%,402.67,4.00,0.99%,"7,350.00",19.14,,0.00,2.8,0,0.00%,
column,22596,https://good-apps.jp/media/column/22596,"ゲーム, オンラインゲーム",【[Y]】サッカーゲームアプリおすすめ人気ランキング5選,4.00,5.00,0.60,12.00%,335.33,2.33,0.70%,"3,790.00",12.65,,0.00,10,0,0.00%,
column,20039,https://good-apps.jp/media/column/20039,"英語学習, 勉強",【[Y]】英語リスニングアプリおすすめ！受験やビジネスの英語が不安なあなたに！,3.75,5.00,0.50,10.00%,144.50,3.00,2.08%,"2,142.00",15.79,,0.00,8,0,0.00%,
column,720,https://good-apps.jp/media/column/720,"ゲーム, テーマ別, RPG, その他",2021年に配信開始した注目のゲームアプリ4選,2.00,5.00,0.00,0.00%,3.00,1.00,33.33%,12.00,5.00,,0.00,,,0.00%,
column,6482,https://good-apps.jp/media/column/6482,"ゲーム, オンラインゲーム",[Y] オンラインゲームアプリおすすめ10選 対戦・協力プレイ,4.40,4.80,0.60,12.50%,691.00,3.67,0.53%,"14,592.00",22.11,,0.00,8,0,0.00%,
column,25118,https://good-apps.jp/media/column/25118,"マッチングアプリ, ライフスタイル",【デートも婚活も！】話題のAIマッチングアプリ6選！,3.75,4.75,0.50,10.53%,82.50,0.50,0.61%,"1,345.50",18.18,,0.00,41,0,0.00%,
column,7085,https://good-apps.jp/media/column/7085,"ダイエット, カロリー計算, ヘルスケア",【ダイエット】おすすめのカロリー計算アプリランキング,3.00,4.60,1.20,26.09%,400.33,2.33,0.58%,"3,966.00",10.94,,0.00,2,0,0.00%,
column,755,https://good-apps.jp/media/column/755,"ニュース, ニュース・天気",【[Y]年】無料で読めるおすすめニュース＆まとめ速報アプリ22選！,4.40,4.60,0.00,0.00%,216.00,3.33,1.54%,"2,620.33",12.71,,0.00,9.6,0,0.00%,
column,20158,https://good-apps.jp/media/column/20158,"ゲーム, シミュレーションゲーム, RPG, 放置ゲーム, パズルゲーム",【[Y]年】無料スマホRPGゲームおすすめアプリ！神ゲー&amp;名作,4.20,4.60,0.00,0.00%,743.00,3.67,0.49%,"11,062.33",16.12,,0.00,25.4,0,0.00%,
column,244,https://good-apps.jp/media/column/244,"ツール, スマホ活用",【保存版】有料アプリの購入履歴を確認する方法,3.80,4.40,0.00,0.00%,"1,525.33",1.00,0.07%,"12,627.67",9.27,,0.00,,,0.00%,
column,6118,https://good-apps.jp/media/column/6118,"ゲーム, シューティングゲーム",【[Y]年最新版】シューティングゲームアプリおすすめ7選,3.60,4.40,0.40,9.09%,369.00,2.33,0.63%,"5,619.67",15.95,800.00,181.82,7.8,0.2,50.00%,
column,24581,https://good-apps.jp/media/column/24581,"航空券, 交通・移動",初心者必見！飛行機チケットの予約と手配方法は？基礎知識から裏ワザも,3.60,4.40,0.40,9.09%,56.00,0.67,1.19%,"2,017.00",37.23,,0.00,3.25,0,0.00%,
column,app,https://good-apps.jp/media/column/app,,,0.00,4.25,0.00,0.00%,,,0.00%,,,,0.00,,,0.00%,
column,196,https://good-apps.jp/media/column/196,"ニュース, ラジオ, エンターテインメント, ニュース・天気",ニュースチェックアプリおすすめ５選【動画再生・連続チェック】,4.20,4.20,0.80,19.05%,126.67,2.67,2.11%,771.00,7.02,,0.00,,,0.00%,
column,12698,https://good-apps.jp/media/column/12698,"テーマ別, その他",個人フリーランス向けおすすめアプリ14選！便利ツールで仕事管理,3.60,4.20,0.20,4.76%,202.67,2.67,1.32%,"2,569.67",13.52,350.00,83.33,5.6,0.2,100.00%,
column,12195,https://good-apps.jp/media/column/12195,"テーマ別, その他",【[Y]年版】最新！注目のおすすめアプリランキング,2.00,4.20,0.20,4.76%,75.33,2.67,3.54%,"1,373.33",19.69,,0.00,316.8,0,0.00%,
column,14279,https://good-apps.jp/media/column/14279,"ゲーム, アドベンチャーゲーム",【[Y]年本気でハマる！】おすすめ戦国ゲームアプリ一覧,3.40,4.00,0.20,5.00%,349.33,3.00,0.86%,"3,772.67",11.79,,0.00,11.6,0,0.00%,
column,23183,https://good-apps.jp/media/column/23183,ゲーム,無料サバイバルゲームアプリおすすめランキング！無人島でクラフト生活,2.33,4.00,2.67,66.67%,130.00,4.00,3.08%,"2,135.00",17.42,,0.00,11.33333333,0,0.00%,
column,15373,https://good-apps.jp/media/column/15373,"ライブ配信, エンターテインメント",【[Y]年絶対にチェックしたい】おすすめvtuberアプリランキング    ,3.00,4.00,4.00,100.00%,92.50,0.00,0.00%,"1,608.50",18.50,,0.00,13,0,0.00%,
column,519,https://good-apps.jp/media/column/519,"ニュース, ニュース・天気",ニュースアプリで賢く情報収集！優良アプリを見分けるコツとは,3.00,3.75,1.50,40.00%,161.33,1.33,0.83%,802.33,6.19,,0.00,3.25,0,0.00%,
column,5035,https://good-apps.jp/media/column/5035,"ショッピング・オークション, クーポン",家族で節約！【[Y]年】おすすめクーポンアプリランキング,3.60,3.60,0.00,0.00%,359.67,3.00,0.83%,"3,252.67",9.96,,0.00,4,0,0.00%,
column,9910,https://good-apps.jp/media/column/9910,"マッチングアプリ, ライフスタイル",恋に悩めるあなたに！おすすめの恋活アプリ10選【[Y]年】,1.60,3.60,0.80,22.22%,355.00,0.67,0.19%,"6,099.00",18.44,,0.00,11.75,0,0.00%,
column,12089,https://good-apps.jp/media/column/12089,"就活・転職, ビジネス・仕事",【25卒/26卒就活生向け】就活アプリおすすめランキング一覧,4.00,3.60,0.60,16.67%,358.00,2.67,0.74%,"4,485.67",13.56,"1,000.00",277.78,6.2,0.2,33.33%,
column,7119,https://good-apps.jp/media/column/7119,"タクシー, 交通・移動",【[Y]年最新】タクシーアプリおすすめランキング,3.00,3.50,0.00,0.00%,522.00,2.67,0.51%,"8,066.67",16.42,,0.00,5.5,0,0.00%,
column,766,https://good-apps.jp/media/column/766,"ファイナンス・マネー, 株・FX",株式投資初心者におすすめの株アプリとメリット【少額からでも】,3.00,3.40,0.80,23.53%,419.33,2.00,0.48%,"11,497.67",27.99,,0.00,3.5,0,0.00%,
column,3196,https://good-apps.jp/media/column/3196,"ニュース, ニュース・天気, その他, アプリ解説",ニュース保存アプリって知ってますか？忙しいあなたにご紹介,3.00,3.33,0.67,20.00%,82.50,0.00,0.00%,574.50,7.95,,0.00,,,0.00%,
column,11370,https://good-apps.jp/media/column/11370,"物件, ライフスタイル",リノベ物件探しにも！おすすめの家探しアプリ人気ランキング,1.75,3.25,0.25,7.69%,109.00,0.50,0.46%,"1,940.00",18.84,,0.00,20.75,0,0.00%,
column,25217,https://good-apps.jp/media/column/25217,"カメラ, 写真・動画",スマホで月を綺麗に撮影するコツ！iPhoneでもAndroidでも,3.00,3.20,0.00,0.00%,58.33,0.67,1.14%,"1,374.67",24.67,,0.00,7.8,0,0.00%,
column,23939,https://good-apps.jp/media/column/23939,"通話, 通信・SNS, ビジネス・仕事, 会議・セミナー",【[Y]】ビデオ通話アプリおすすめ人気7選｜無料,3.00,3.20,0.20,6.25%,361.00,3.00,0.83%,"4,612.67",14.03,,0.00,13.4,0,0.00%,
column,22806,https://good-apps.jp/media/column/22806,"ファイナンス・マネー, 仮想通貨",【[Y]】仮想通貨ウォレットおすすめ人気ランキング5選,2.60,3.20,0.40,12.50%,504.33,1.67,0.33%,"7,659.33",16.19,,0.00,8.2,0,0.00%,
column,1168,https://good-apps.jp/media/column/1168,"ニュース, ニュース・天気, その他, アプリ解説",LINEニュース終了？普段のLINEアプリでもニュースが閲覧できる！？,3.00,3.20,0.40,12.50%,199.67,2.33,1.17%,"1,270.33",7.35,,0.00,,,0.00%,
column,6582,https://good-apps.jp/media/column/6582,"音楽, エンターテインメント",【徹底比較】おすすめサブスク音楽配信アプリ人気ランキング,2.80,3.20,0.60,18.75%,713.67,2.33,0.33%,"14,750.00",21.72,,0.00,1.25,0,0.00%,
column,23215,https://good-apps.jp/media/column/23215,"写真編集／加工, 写真・動画",【[Y]】プリクラ加工アプリおすすめ人気ランキング6選,3.00,3.00,0.20,6.67%,229.33,2.00,0.87%,"2,167.00",10.73,,0.00,6.8,0,0.00%,
column,7780,https://good-apps.jp/media/column/7780,"英語学習, 勉強",【スコアアップ】TOEIC対策に強い英語学習アプリおすすめランキング,0.33,3.00,1.00,33.33%,46.00,1.00,2.17%,"1,515.50",35.69,,0.00,6.666666667,0,0.00%,
column,22548,https://good-apps.jp/media/column/22548,"ゲーム, 育成ゲーム",[Y]｜育成ゲームアプリおすすめランキング3選｜無料でやり込める,2.25,2.75,0.00,0.00%,99.33,2.33,2.35%,"2,651.00",27.88,,0.00,7,0,0.00%,
column,25159,https://good-apps.jp/media/column/25159,"エンターテインメント, 公営ギャンブル",【無料】オートレースアプリおすすめ4選！レースのライブ配信も楽しめる,2.00,2.60,0.60,23.08%,75.33,2.00,2.65%,"1,201.33",15.81,350.00,134.62,25,0.2,33.33%,
column,15813,https://good-apps.jp/media/column/15813,"写真編集／加工, 写真・動画",[Y]年最新 スマホで簡単加工!モザイクアプリおすすめランキング,2.25,2.50,0.25,10.00%,694.00,1.67,0.24%,"9,808.33",15.36,,0.00,3,0,0.00%,
column,5368,https://good-apps.jp/media/column/5368,"マッチングアプリ, ライフスタイル",【[Y]年】おすすめ婚活アプリ集！真剣な方に【世代別徹底比較】,1.00,2.33,1.33,57.14%,80.00,0.00,0.00%,"3,295.00",42.19,,0.00,14,0,0.00%,
column,6768,https://good-apps.jp/media/column/6768,"ツール, 年賀状",【2025年】年賀状アプリおすすめランキング15選【比較・無料】,2.33,2.33,0.00,0.00%,295.00,1.00,0.34%,"9,965.00",34.78,,0.00,40,0,0.00%,
column,13362,https://good-apps.jp/media/column/13362,"ツール, パスワード管理",最新：iPhone/Androidおすすめパスワード管理アプリ【基本情報から解説】,2.25,2.25,0.00,0.00%,129.33,0.67,0.52%,"2,717.67",22.45,,0.00,,,0.00%,
column,24647,https://good-apps.jp/media/column/24647,"勉強, 語学学習",【[Y]年】中国語アプリおすすめ徹底比較！人気アプリを目的別に解説,2.00,2.20,0.40,18.18%,62.33,0.33,0.53%,"1,066.33",18.43,,0.00,6,0,0.00%,
column,22319,https://good-apps.jp/media/column/22319,"未分類, 英語学習, 勉強",シャドーイングアプリ徹底比較！ 無料アプリやAI機能のアプリも！,1.40,2.00,0.40,20.00%,33.00,0.67,2.02%,533.33,17.21,,0.00,11.2,0,0.00%,
column,4464,https://good-apps.jp/media/column/4464,"マッチングアプリ, ライフスタイル",【[Y]年】マッチングアプリおすすめランキング【徹底比較】,1.33,2.00,0.33,16.67%,346.00,1.50,0.43%,"18,798.50",55.30,,0.00,10,0,0.00%,
column,529,https://good-apps.jp/media/column/529,"テーマ別, ニュース, ラジオ, エンターテインメント, 勉強, 勉強サポート, ニュース・天気, その他",NHKアプリ全10種紹介！【英語やニュースの勉強にピッタリ】,1.20,2.00,0.20,10.00%,136.00,1.33,0.98%,"1,540.67",12.37,,0.00,,,0.00%,
column,5642,https://good-apps.jp/media/column/5642,"ゲーム, オンラインクレーンゲーム",おすすめオンラインクレーンゲームアプリ｜無料｜UFOキャッチャー,2.00,2.00,0.00,0.00%,,,0.00%,,,,0.00,14,0,0.00%,
column,5505,https://good-apps.jp/media/column/5505,"エンターテインメント, 漫画・読書",【[Y]年】無料の漫画アプリおすすめ人気ランキング【徹底比較】,1.00,2.00,0.00,0.00%,,,0.00%,,,,0.00,7.5,0,0.00%,
column,24682,https://good-apps.jp/media/column/24682,未分類,【無料】乳幼児から小学生まで！知育アプリおすすめ3選,2.00,2.00,0.33,16.67%,80.00,1.00,1.25%,"2,444.00",31.55,,0.00,18.66666667,0,0.00%,
column,13108,https://good-apps.jp/media/column/13108,"ゲーム, オンラインゲーム",無料｜格闘ゲームアプリおすすめ5選｜スマホでも格ゲーが楽しめる,1.50,2.00,0.75,37.50%,176.50,1.00,0.57%,"3,146.00",18.69,,0.00,,,0.00%,
column,11999,https://good-apps.jp/media/column/11999,"就活・転職, ビジネス・仕事",【[Y]年】転職アプリおすすめランキング｜年代別＆目的別に解説,2.00,2.00,0.50,25.00%,111.00,0.00,0.00%,"2,895.00",27.08,,0.00,3.5,0,0.00%,
column,421,https://good-apps.jp/media/column/421,"ニュース, 英語学習, 勉強, ニュース・天気",【初心者向け】無料で学べる！英語学習おすすめニュースアプリ37選,0.67,2.00,2.67,133.33%,92.00,0.33,0.36%,"1,483.00",15.94,,0.00,4.333333333,0,0.00%,
column,19094,https://good-apps.jp/media/column/19094,"ライブ配信, エンターテインメント",【稼げる】投げ銭のあるライブ配信アプリおすすめランキング10選,1.00,2.00,2.00,100.00%,69.67,0.33,0.48%,"2,840.00",41.10,,0.00,26,0,0.00%,
column,20210,https://good-apps.jp/media/column/20210,"ゲーム, RPG, アドベンチャーゲーム",おすすめゲーム配信アプリランキング！選び方から配信方法まで解説,1.60,1.80,0.20,11.11%,105.67,1.00,0.95%,"1,960.33",19.68,,0.00,9,0,0.00%,
column,20904,https://good-apps.jp/media/column/20904,"エンターテインメント, 公営ギャンブル",【人気】地方競馬ネット購入・投票といえばコレ！おすすめサービス,1.20,1.80,0.20,11.11%,704.33,0.67,0.09%,"10,288.33",15.64,,0.00,5.2,0,0.00%,
column,5060,https://good-apps.jp/media/column/5060,"翻訳, 勉強",【[Y]年版】英語翻訳アプリおすすめランキング,1.75,1.75,0.00,0.00%,596.50,0.50,0.08%,"13,473.00",24.30,,0.00,,,0.00%,
column,22723,https://good-apps.jp/media/column/22723,"カメラ, 写真・動画",【[Y]】写真のニキビを消すアプリおすすめ人気ランキング5選,1.75,1.75,0.50,28.57%,636.00,1.50,0.24%,"3,619.00",6.80,,0.00,5,0,0.00%,
column,18528,https://good-apps.jp/media/column/18528,"マッチングアプリ, ライフスタイル",40代に人気のマッチングアプリおすすめランキング！バツイチも安心,1.75,1.75,0.00,0.00%,165.33,0.33,0.20%,"3,793.33",24.01,,0.00,5.333333333,0,0.00%,
column,16152,https://good-apps.jp/media/column/16152,"ゲーム, オンラインゲーム",【[Y]年最新】無料ゲームアプリおすすめランキング10選,1.00,1.50,0.00,0.00%,127.50,0.00,0.00%,"5,591.00",43.16,,0.00,8.5,0,0.00%,
column,23505,https://good-apps.jp/media/column/23505,"エンターテインメント, 動画配信サービス",【[Y]】動画配信サービス人気ランキング！おすすめの選び方を解説,1.00,1.50,0.00,0.00%,102.50,0.50,0.49%,"6,292.50",62.96,,0.00,12.25,0,0.00%,
column,7138,https://good-apps.jp/media/column/7138,"ゲーム, 街づくりゲーム, シミュレーションゲーム, RPG, 育成ゲーム",【無料ゲームアプリ】最新おすすめシミュレーションゲームアプリ一覧,0.50,1.50,0.00,0.00%,60.00,0.50,0.83%,"2,621.50",45.37,,0.00,5.25,0,0.00%,
column,1253,https://good-apps.jp/media/column/1253,"ニュース, ポイ活, ファイナンス・マネー, ニュース・天気, その他, アプリ解説",スマートニュースで楽天ポイントGET？！アプリを削除した時の対処法まで解説,1.20,1.40,0.00,0.00%,39.33,0.67,1.69%,701.00,19.87,,0.00,1,0,0.00%,
column,3979,https://good-apps.jp/media/column/3979,"ライブ配信, バイト, エンターテインメント, ビジネス・仕事",【稼げるライブ配信アプリまとめ】初心者でも稼ぐためのコツを紹介！,0.80,1.40,0.00,0.00%,138.33,0.67,0.48%,"2,015.00",15.61,,0.00,11,0,0.00%,
column,1709,https://good-apps.jp/media/column/1709,"スマホ活用, テーマ別, ニュース, 家計簿, フリマ・オークション, 物件, ライフスタイル, 料理, ショッピング・オークション, ニュース・天気, その他",新生活に役立つ！スマホ便利アプリ13選,1.33,1.33,0.00,0.00%,28.33,0.67,2.35%,218.33,8.76,,0.00,3.666666667,0,0.00%,
column,mobile,https://good-apps.jp/media/column/mobile,,,0.00,1.25,0.00,0.00%,,,0.00%,,,,0.00,,,0.00%,
column,59,https://good-apps.jp/media/column/59,"ツール, スマホ活用",iPhoneでアプリに使っているデータ容量を確認する方法,1.00,1.00,0.00,0.00%,118.00,0.00,0.00%,"1,388.00",12.76,,0.00,,,0.00%,
column,392,https://good-apps.jp/media/column/392,"ニュース, ニュース・天気, その他, アプリ解説",暇つぶしアプリなら『グノシー』ストレスフリーにニュースをチェック,1.00,1.00,0.00,0.00%,,,0.00%,,,,0.00,1,0,0.00%,
column,9396,https://good-apps.jp/media/column/9396,"SNS, 通信・SNS",おすすめFacebook関連アプリ｜無料｜ビジネス向け運用に,1.00,1.00,0.00,0.00%,,,0.00%,,,,0.00,,,0.00%,
column,678,https://good-apps.jp/media/column/678,"ニュース, 英語学習, 勉強, ニュース・天気",英語をリスニングから学べるニュースアプリ3選,0.50,1.00,0.00,0.00%,12.00,0.00,0.00%,223.00,19.58,,0.00,2,0,0.00%,
column,21199,https://good-apps.jp/media/column/21199,"マッチングアプリ, ライフスタイル",【初心者・男性必見！】ハッピーメールの料金システム比較ガイド,0.50,1.00,0.00,0.00%,83.00,0.00,0.00%,"2,700.00",33.53,,0.00,6.5,0,0.00%,
column,492,https://good-apps.jp/media/column/492,"ニュース, ライフスタイル, スキルアップ, ニュース・天気",【成長したいビジネスパーソン必見】厳選！おすすめニュースアプリ,0.00,1.00,0.00,0.00%,3.00,0.00,0.00%,82.00,28.33,,0.00,,,0.00%,
column,21274,https://good-apps.jp/media/column/21274,,,0.00,1.00,0.00,0.00%,,,0.00%,,,,0.00,,,0.00%,
column,746,https://good-apps.jp/media/column/746,"ファイナンス・マネー, 株・FX",FX初心者におすすめアプリ5選！FXのメリット・デメリットとは？,1.00,1.00,0.00,0.00%,19.00,0.00,0.00%,"1,204.00",64.37,,0.00,1,0,0.00%,
column,544,https://good-apps.jp/media/column/544,"電子マネー・決済, ファイナンス・マネー, その他, アプリ解説",PayPayアプリの使い方を解説【ポイント還元・キャンペーン活用法】,0.00,1.00,0.00,0.00%,8.50,0.00,0.00%,439.50,55.27,,0.00,1,0,0.00%,
column,21067,https://good-apps.jp/media/column/21067,"SNS, 通信・SNS",Instagramアカウントを削除する方法の手順【スマホ/PC】,1.00,1.00,0.00,0.00%,173.00,1.00,0.58%,"2,786.00",17.10,,0.00,,,0.00%,
